b,Iterativa,Binaria_Recursiva
1000,0.000000,0.000000
2001000,0.002000,0.000000
4001000,0.004000,0.000000
6001000,0.007000,0.000000
8001000,0.007000,0.000000
10001000,0.008000,0.000000
12001000,0.008000,0.000000
14001000,0.010000,0.000000
16001000,0.011000,0.000000
18001000,0.013000,0.000000
20001000,0.014000,0.000000
22001000,0.017000,0.000000
24001000,0.017000,0.000000
26001000,0.019000,0.000000
28001000,0.022000,0.000000
30001000,0.021000,0.000000
32001000,0.023000,0.000000
34001000,0.024000,0.000000
36001000,0.026000,0.000000
38001000,0.029000,0.000000
40001000,0.032000,0.000000
42001000,0.030000,0.000000
44001000,0.032000,0.000000
46001000,0.035000,0.000000
48001000,0.039000,0.000000
50001000,0.040000,0.000000
52001000,0.040000,0.000000
54001000,0.040000,0.000000
56001000,0.047000,0.000000
58001000,0.050000,0.000000
60001000,0.046000,0.000000
62001000,0.045000,0.000000
64001000,0.055000,0.000000
66001000,0.048000,0.000000
68001000,0.052000,0.000000
70001000,0.052000,0.000000
72001000,0.052000,0.000000
74001000,0.059000,0.000000
76001000,0.057000,0.000000
78001000,0.058000,0.000000
80001000,0.057000,0.000000
82001000,0.062000,0.000000
84001000,0.062000,0.000000
86001000,0.064000,0.000000
88001000,0.065000,0.000000
90001000,0.067000,0.000000
92001000,0.066000,0.000000
94001000,0.068000,0.000000
96001000,0.074000,0.000000
98001000,0.074000,0.000000
